,title,label
0,아침부터 고생해서 등갈비마라탕 해준 남편에게 설거지 다 할거냐며 짜증낸,0
1,1호가 김경아 ♥권재관표 거한 아침상에 당황 아침부터 마라탕을,0
2,1호가 권재관 아침부터 등갈비·마라탕·스파게티김경아 머리숱 없어서,0
3,정시아 아수라장 MC 합류마라탕맛 맘토크,0
4,마라탕 맛 없다더니 다 먹고 반품배달거지에 당했다,0
5,1호가될순없어 권재관 아침부터 등갈비마라탕 요리 경악 1,0
6,조금만 먹었다면서요”···텅 빈 마라탕 반품에 분노한 사장님,0
7,SNS판 배달 거지에게 당했다 일산 마라탕 업주의 하소연,0
8,마라탕 공짜로 한그릇 더 먹으려식당 주인에 사기친 배달 거지’사연뉴스,0
9,中 너네도 당해봐훠궈·마라탕 韓 전통음식”,0
10,방구석 세계여행③ 하루 24시간 12개 도시 투어도 가능”,0
11,한국 조상들은 예로부터 훠궈와 마라탕을” 이게 무슨소리야,0
12,이승윤 즉석에서 작곡한 마라탕 공개윤종신 가사 의미 있어 호평,0
13,유명가수전’ 이승윤 이별 노래로 마라탕’ 즉석 작곡→윤종신 가사 의,0
14,최문순 왜 차이나타운에 꽂혔나 맹폭한 이준석 마라탕·고량주 고장 안 됐,0
15,정읍 마라부 마라탕 덴탈마스크 20만 매 기탁,0
16,영상 마라탕·훠궈가 한국 음식 역逆 동북공정으로 맞선 토종기업,0
17,마라부 마라탕 코로나19 극복 덴탈마스크 20만 매 기탁,0
18,훠궈 마라탕은 한국음식만우절 역 동북공정 화제,0
19,위아이 김요한·장대현 마라탕맛 위아이,0
20,펜트하우스 김순옥표 마라탕맛 통했네,0
21,하다 하다 中 비빔밥까지대륙 자본에 맛들인 빈센조 PPL,0
22,마라탕·�c얌꿍도 간편하게해외요리 밀키트 인기,1
23,맛남의 광장 이선빈 농산물 대변인 변신백종원표 마라탕 폭풍 흡입,0
24,KCA한국소비자평가 2021 KCA 딜리버리 푸드 어워즈 서울 지역 수상자 발표,1
25,김경아♥권재관 1호가 될 순 없어’ NEW 마라맛 부부 종합,0
26,중국에선 욕할 때 이렇게 한다마라탕 국물을 먹으면 안 되는 이유 영상,0
27,뉴스큐 우리 조상이 훠궈와 마라탕을 즐겼다반중 정서 확산,0
28,이영지·최유정 우리집 커버 영상에 떡볶이 떠올린 누리꾼왜,0
29,손님이 면 퍼졌다며 음식을 반품했습니다 그런데 상태가”,0
30,놀면뭐하니 유재석 마라탕·민트초코·킹크랩 사양까탈레나유 등극,0
31,bnt화보 브레이브걸스 유정 일식 애호가지만 인생 음식은 은지 덕에 눈뜬,0
32,백브리핑 마라탕 즐겨먹은 우리 조상들 중국도 느껴봐,0
33,탕화쿵푸마라탕 주다온시스템 클린세이버와 업무협약MOU 체결,1
34,권재관 3절대 모발이식 고백모발이식계 3스타 등극1호가’,0
35,정준하 불화 이휘재가 지어낸 것김수용 정준하 극혐 1호가종합,0
36,이동국 재시X재아와 마라탕 데이트붕어빵 부녀들의 달달 모먼트,0
37,10줄리뷰마라탕은 처음이라 골목대장 맥주와 함께,0
38,영어 안통하는 택시·매운 마라탕 홍콩의 중국화 안타깝죠,0
39,이동국 딸 재시 한창 잘 먹을 나이 15세마라탕 먹고싶다,0
40,살 쫙 빼고 턱선 생기더니 마라탕 존재조차 잊어버린 이영지 근황,0
41,숙행 트롯 매직유랑단’ 요즘 핫해마라탕 수준의 매운 맛 보여줄 것”,0
42,지식 1스푼 자취 인기배달음식 마라탕 국물은 마시는게 아니다,1
43,중국 식품기업 진마이랑 마라탕면에 이어 새로운 라면 선봬,1
44,건강 중시 트렌드에 떠오르는 대체 식음료,1
45,세종다문화 마라탕의 인기는 언제까지,1
46,빈센조 뜬급없는 중국산 비빔밥에 불만 폭주차라리 마라탕 먹어라,-1
47,아돌라스쿨’ 드리핀 황윤성 배달 맛집 분석 특강,1
48,남도 맛집양떼목장 더워진 날씨에 기력이 떨어진다면담백·고소한 양다,1
49,맛남의 광장’ 이선빈 마라탕 폭풍 먹방 얼얼한 거 진짜 좋아해”,0
50,박연수 딸 송지아 먹성에 깜짝 얼굴만한 와플세수 대야만한 마라탕까지i,0
51,이동국 딸 수아 시안이와 생애 첫 마라탕에도 진심 두근두근,0
52,쓱 넘긴 11번가 LG트윈스 응원 나선다풀무원과 한정상품 선봬,0
53,선거날 임시공휴일 만우절 거짓말일까,0
54,맛남 양세형 마라탕 먹고 감탄 시청자들에게 미안해,0
55,RISING FRANCHISE STAR  피슈마라홍탕 마라탕 열풍을 일으킨 주인공,1
56,훠궈·마라탕 한국 거라는 만우절 역 동북공정 저격에 열 받은 중국인들 반,0
57,인기 유튜버 버거형 마라탕면 방송 현재 경품 행사중,1
58,유재석 마라탕 No 민트초코 No아내 나경은도 내게 까다롭다고 놀면 ,0
59,마라탕 창업 프랜차이즈 선택 노하우 3가지,0
60,박미선 끝을 보는 권재관에 이봉원보다 더해 1호가,0
61,인천은 쫄면이다 왜냐하면,0
62,정읍시 마라부 마라탕 김호 대표 덴탈마스크 20만 매 기탁,0
63,호불호 강한 민초 좋아한다더니 최애 음식은 마라탕마라샹궈라 밝힌 한지,0
64,롤린 브레이브걸스 좋아하는 안주는 닭발 마라탕 회 먹태 컬투쇼,0
65,마라탕 흑당에 이어 지금은 K로제 열풍부드럽고 매콤한 맛으로 MZ세대,1
66,포토 피슈마라홍탕 2021 대한민국 퍼스트브랜드 대상 마라탕전문점 부문,0
67,14F 배달 거지 피해,-1
68,TV조선 아내를 위한 이벤트 준비,0
69,함소원 야밤에 ♥진화가 만든 마라탕 먹방 퇴근해 아쉬워서”SNS★컷,1
70,건강 중시 트렌드에 수요↑떠오르는 대체 식음료,1
71,백종원 한국 재벌 14위8300억 재산 양세형 너스레,0
72,불황에도 마라탕 창업 꾸준한 인기비결,1
73,마라탕은 한국 음식  국내 기업이 중국 동북공정 겨냥해 통쾌한 일침을 ,0
74,건강 중시 트렌드에 대체 식음료가 뜬다,1
75,가정간편식의 편리함과 완성도 높이는 간편 소스 인기,1
76,풀뿌리상권 살려내자냉면에서 마라탕까지대한민국 대표 면 요리 특구 진주,0
77,마라탕에 고수 추가해달라니까 사장이 뜬금없는 물건을 보냈습니다”,0
78,뒤돌아’ 유희열 손잡은 젝키 마라탕 합숙기→발라드 음악예능도 통할까T,0
79,책읽아웃 나에게 좋은 자극을 준 책,0
80,훠궈한국 것’ 만우절 마케팅에 한국인들 아파 보여”中 누리꾼 발끈,0
81,이 사진들을 본다면 앞으로 마라탕’을 먹기 힘들지도 모릅니다 혐오 주의,0
82,이선빈 김태희와 특별한 인연 中드라마서 같이 연기해유병재 성덕 인증,0
83,우주소녀 1위 예상 못해 공약 연습 중에너지 200 토크 정희 종합,1
84,부산광역시청 탕화쿵푸마라탕 남포점·최진섭 신경외과의원 방문객 코로나 진,0
85,대전시다문화추운 겨울 몸을 녹여줄 중국의 마라탕을 소개합니다,0
86,덕후의 취향 31 마라탕  내 맘대로 고른 마라탕痲辣湯 맛집 best 4,1
87,맛남 이선빈 감자 사랑 인증→하이힐 배달기 ft 백종원 재벌종합,0
88,맛집로드 혀가 얼얼한데 자꾸 당기네 매운맛의 대세 마라,1
89,지붕 위로 배달中 배달원 700만 명 생계 건 질주’,0
90,방구석 세계여행② 현지의 맛 그대로다국적 식탁 유행,0
91,11번가 LG트윈스·풀무원 콜라보 정백홍 비빔면 세트’ 판매,0
92,이선빈 김태희와 함께 중국서 中배우들과 드라마 찍어” 맛남 결정적장면,0
93,우리 가게 자신있는 상품만 내놓는 금요일 금바구니’ 매출 25배 늘어,0
94,마라탕·짜파구리·백순대귀찮은 집밥 요리같은 이색 컵라면,0
95,必검진전남 영암군청 삼호읍 골탕마라탕 방문자 보건소 검사 요망코로나1,0
96,속보보령시청 탕화쿵푸마라탕제주밤바다용인대 반석태권도방문자 코로,0
97,진마이랑 마라탕면 출시 1년 만에 100만 개 판매 돌파,1
98,한유라 남편 정형돈과 강남 데이트마라탕 느낌 박성광 아내 이솔이 셋이,0
99,마라탕 덕후라면 꼭 알아둬야 매콤알싸한 마라탕 더 맛있게 먹는 꿀팁 4,0
100,박연수 딸 송지아 먹성에 깜짝 얼굴만한 와플세수 대야만한 마라탕까지i,0
101,정읍 마라부 마라탕 덴탈마스크 20만매 기탁,0
102,이동국 딸 수아 시안이와 생애 첫 마라탕에도 진심 두근두근,0
103,진짜 심각한다” 아침상 차리다가 격한 갈등 터진 연예인 부부 영상,0
104,쓱 넘긴 11번가 LG트윈스 응원 나선다풀무원과 한정상품 선봬,0
105,선거날 임시공휴일 만우절 거짓말일까,0
106,1호가’ 김경아 남편 권재관 6천모 이식받았다”,0
107,진마이랑 마라탕면에 이어 새로운 컵라면 사천식 탄탄면선봬,1
108,맛남의 광장 백종원 양세형에 달고나로 굴욕,0
109,맛남 양세형 마라탕 먹고 감탄 시청자들에게 미안해,0
110,맛남 양세형 마라탕 먹고 감탄 시청자들에게 미안해,0
111,맛남의 광장’ 이선빈 A급 알바생 변신,0
112,권재관 탈모로 6000모 이식 받았다 1호가,0
113,RISING FRANCHISE STAR  피슈마라홍탕 마라탕 열풍을 일으킨 주인공,1
114,훠궈·마라탕 한국 거라는 만우절 역 동북공정 저격에 열 받은 중국인들 반,0
115,드리핀 차준호 아이돌 중 요리는 1등 찌개 잘해 요리 강사 변신,0
116,11번가 LG트윈스풀무원 정백홍 비빔면 세트’ 판매,0
117,인기 유튜버 버거형 마라탕면 방송 현재 경품 행사중,1
118,유재석 마라탕 No 민트초코 No아내 나경은도 내게 까다롭다고 놀면 ,0
119,마라탕 창업 프랜차이즈 선택 노하우 3가지,0
120,마라탕 창업 프랜차이즈 선택 노하우 3가지,0
121,1호가’ 권재관 모발이식 깜짝 고백하며 스튜디오 뒤집었다 MTV인사이드,0
122,맛남의 광장 백종원 달고나 알못 양세형에 굴욕,0
123,김경아 남편 권재관 6000모 심었다 깜짝 폭로1호가서 결혼생활 첫 공개,0
124,정시아 아수라장’ MC 발탁,0
125,박미선 끝을 보는 권재관에 이봉원보다 더해 1호가,0
126,훠궈 끓여먹는 선조들 풍속화中 얼마나 황당한지 느껴봤으면,0
127,인천은 쫄면이다 왜냐하면,0
128,정읍시 마라부 마라탕 김호 대표 덴탈마스크 20만 매 기탁,0
129,호불호 강한 민초 좋아한다더니 최애 음식은 마라탕마라샹궈라 밝힌 한지,0
130,맛남의 광장’ 백종원 동두천 달고나 왕’ 양세형에 굴욕,0
131,호불호 강한 민초 좋아한다더니 최애 음식은 마라탕마라샹궈라 밝힌 한지,0
132,정시아 아수라장’ MC 합류 공식,0
133,롤린 브레이브걸스 좋아하는 안주는 닭발 마라탕 회 먹태 컬투쇼,0
134,마라탕 흑당에 이어 지금은 K로제 열풍부드럽고 매콤한 맛으로 MZ세대,1
135,김경아 ♥권재관 탈모 디스 머리숱이 없어서 모르냐 1호가,0
136,11번가 LG트윈스·풀무원 협업 한정판 정·백·홍 비빔면 세트 판매,0
137,1호가 될 순 없어 뉴페이스 등장개그인 5호 부부 김경아권재관 아침,0
138,돼지 목에 진주목걸이 1호가 김경아 권재관의 진수성찬 요리에도 시리얼,1
139,박연수 송지아 내 딸 맞아얼굴만 한 와플 먹고 바로 세숫대야만 한 마라,0
140,1호가 김경아♥권재관 최초 일상 공개6천 모 모발이식 폭로까지,0
141,돼지 목에 진주목걸이 1호가 김경아 권재관의 진수성찬 요리에도 시리얼,1
142,박연수 송지아 내 딸 맞아얼굴만 한 와플 먹고 바로 세숫대야만 한 마라,0
143,정시아 MC발탁 수위 없는 아수라장 공식입장,0
144,포토 피슈마라홍탕 2021 대한민국 퍼스트브랜드 대상 마라탕전문점 부문,0
145,14F 배달 거지 피해,-1
146,1호가 될 순 없어 권재관 중독성甲 마라 재관으로 웃음 유발 언밸런스 ,0
147,TV조선 아내를 위한 이벤트 준비,0
148,마라탕면 인기에 힘입어 탄탄면 컵라면 출시 중국 라면 열풍,1
149,1호가 김경아♥권재관 아침식사 전쟁新커플 지각변동,0
150,TV조선 아내를 위한 이벤트 준비,0
151,마라탕면 인기에 힘입어 탄탄면 컵라면 출시 중국 라면 열풍,1
152,1호가 김경아♥권재관 아침식사 전쟁新커플 지각변동,0
153,1호가’ 김경아♥권재관 일상 첫 공개모발 이식 디스까지,0
154,맛남의 광장’ 이선빈 맛남 매운맛 최강자→A급 알바생으로 MK★TV컷,0
155,함소원 야밤에 ♥진화가 만든 마라탕 먹방 퇴근해 아쉬워서”SNS★컷,1
156,1호가 권재관 능숙함과 허술함 사이 언밸런스 끝판왕,0
157,훠궈 끓여먹는 우리 조상들중국 역사 왜곡 얼마나 황당한지 느껴야”,0
158,공식정시아 은밀한 女수다쇼 아수라장 합류수위없는 마라맛 맘토크,0
159,건강 중시 트렌드에 수요↑떠오르는 대체 식음료,1
160,1호가 권재관 능숙함과 허술함 사이 언밸런스 끝판왕,0
161,훠궈 끓여먹는 우리 조상들중국 역사 왜곡 얼마나 황당한지 느껴야”,0
162,공식정시아 은밀한 女수다쇼 아수라장 합류수위없는 마라맛 맘토크,0
163,건강 중시 트렌드에 수요↑떠오르는 대체 식음료,1
164,맛남의 광장’ 백종원 동두천 달고나왕 양세형에게 굴욕오늘TV,0
165,백종원 한국 재벌 14위8300억 재산 양세형 너스레,0
166,불황에도 마라탕 창업 꾸준한 인기비결,1
167,마라탕은 한국 음식  국내 기업이 중국 동북공정 겨냥해 통쾌한 일침을 ,0
168,11번가 LG트윈스풀무원 콜라보한정판 비빔면 세트’ 최초 판매,0
169,건강 중시 트렌드에 대체 식음료가 뜬다,1
170,11번가 LG트윈스풀무원 콜라보한정판 비빔면 세트’ 최초 판매,0
171,정시아 MC 발탁 SBS FiL 아수라장서 리얼 맘토크 선보인다,0
172,건강 중시 트렌드에 대체 식음료가 뜬다,1
173,엠디에스코리아 사천왕 마라탕면’ 배우 박효준버거형과 경품이벤트 진행,0
174,훠궈는 한국 전통음식 中에 역逆 동북공정,0
175,가정간편식의 편리함과 완성도 높이는 간편 소스 인기,1
176,투데이TV맛남의 광장 이선빈 농산물 대변인 변신먹방부터 배달까지 다,0
177,풀뿌리상권 살려내자냉면에서 마라탕까지대한민국 대표 면 요리 특구 진주,0
178,아돌라스쿨 차준호 수강생 환불 요구 사태에 멘붕,0
179,마라탕에 고수 추가해달라니까 사장이 뜬금없는 물건을 보냈습니다”,0
180,아돌라스쿨 차준호 수강생 환불 요구 사태에 멘붕,0
181,정시아 아수라장 MC 합류필터링 없는 맘토크 예고,0
182,11번가 LG트윈스풀무원 콜라보 정백홍 비빔면 세트 한정 판매,0
183,마라탕에 고수 추가해달라니까 사장이 뜬금없는 물건을 보냈습니다”,0
184,뒤돌아’ 유희열 손잡은 젝키 마라탕 합숙기→발라드 음악예능도 통할까T,0
185,책읽아웃 나에게 좋은 자극을 준 책,0
186,맛남의 광장 백종원 동두천 달고나왕 양세형에게 굴욕,0
187,훠궈한국 것’ 만우절 마케팅에 한국인들 아파 보여”中 누리꾼 발끈,0
188,이 사진들을 본다면 앞으로 마라탕’을 먹기 힘들지도 모릅니다 혐오 주의,0
189,이선빈 김태희와 특별한 인연 中드라마서 같이 연기해유병재 성덕 인증,0
190,맛남의 광장 백종원 동두천 달고나왕 양세형에게 굴욕,0
191,훠궈한국 것’ 만우절 마케팅에 한국인들 아파 보여”中 누리꾼 발끈,0
192,11번가 LG트윈스풀무원 콜라보 한정판 정백홍 비빔면 세트’ 최초 판매,0
193,정시아 MC발탁 트렌드세터 주부들 궁금증 풀어준다,1
194,이 사진들을 본다면 앞으로 마라탕’을 먹기 힘들지도 모릅니다 혐오 주의,0
195,이선빈 김태희와 특별한 인연 中드라마서 같이 연기해유병재 성덕 인증,0
196,못 먹겠다더니 싹 비운 그릇배달거지에 당했다 업주 분노,0
197,우주소녀 1위 예상 못해 공약 연습 중에너지 200 토크 정희 종합,1
198,이금기 간편 소스·가정간편식 완성도 높은 집쿡 장점 모아 성장세,0
199,부산광역시청 탕화쿵푸마라탕 남포점·최진섭 신경외과의원 방문객 코로나 진,0
200,이금기 간편 소스·가정간편식 완성도 높은 집쿡 장점 모아 성장세,0
201,부산광역시청 탕화쿵푸마라탕 남포점·최진섭 신경외과의원 방문객 코로나 진,0
202,대전시다문화추운 겨울 몸을 녹여줄 중국의 마라탕을 소개합니다,0
203,덕후의 취향 31 마라탕  내 맘대로 고른 마라탕痲辣湯 맛집 best 4,1
204,1호가 될 순 없어 김경아 권재관 부부 첫 일상 공개,0
205,못 먹겠다더니 그릇은 텅텅···배달거지에 당한 사장님,0
206,정시아 여자들의 은밀한 수다쇼 아수라장 MC 합류 29일 첫 방송,0
207,맛남 이선빈 감자 사랑 인증→하이힐 배달기 ft 백종원 재벌종합,0
208,황윤성 절대 미각 집안 내력vs차준호 요리는 감이다,0
209,맛집로드 혀가 얼얼한데 자꾸 당기네 매운맛의 대세 마라,1
210,코로나19 사태 장기화건강 중시 경향 확산 대체 식음료 각광,0
211,지붕 위로 배달中 배달원 700만 명 생계 건 질주’,0
212,방구석 세계여행② 현지의 맛 그대로다국적 식탁 유행,0
213,11번가 LG트윈스·풀무원 콜라보 정백홍 비빔면 세트’ 판매,0
214,놀면 뭐하니 유재석 음식 안 가린다더니 마라탕·민트초코·킹크랩 사양 ,0
215,이선빈 김태희와 함께 중국서 中배우들과 드라마 찍어” 맛남 결정적장면,0
216,우리 가게 자신있는 상품만 내놓는 금요일 금바구니’ 매출 25배 늘어,0
217,마라탕·짜파구리·백순대귀찮은 집밥 요리같은 이색 컵라면,0
218,必검진전남 영암군청 삼호읍 골탕마라탕 방문자 보건소 검사 요망코로나1,0
219,속보보령시청 탕화쿵푸마라탕제주밤바다용인대 반석태권도방문자 코로,0
220,진마이랑 마라탕면 출시 1년 만에 100만 개 판매 돌파,1
221,한유라 남편 정형돈과 강남 데이트마라탕 느낌 박성광 아내 이솔이 셋이,0
222,마라탕 덕후라면 꼭 알아둬야 매콤알싸한 마라탕 더 맛있게 먹는 꿀팁 4,0
223,코로나19로 건강 챙기는 대학생 늘었다 마라탕’매운닭발’ NO 이제는 ,0
224,정시아 MC발탁 프로그램은,0
225,태안다문화중국 특색음식 마라탕’,0
226,딤섬·마라탕·훠궈는 韓 전통음식 中에 맞선 만우절 마케팅,0
227,정시아 MC발탁 TV판 맘카페 아수라장 합류 수위없는 맘토크,0
228,2021 대한민국 퍼스트브랜드 대상 식품·외식 부문,0
229,마라탕 국물만은 먹지마세요,0
230,마라탕 국물만은 먹지마세요,0
231,마라탕’보다 맛있다고 소문난 카오위’,0
232,하오츠마라탕 프랜차이즈 가맹점 모집 진행,0
233,더본코리아 리춘시장 겉은 바삭 속은 다양 8종류의 15개 모둠튀김을 한 번,0
234,음식 불만 있다면서 거의 다 먹어소비자 갑질에 자영업자 한숨,-1
235,집에서 만들어 먹는 마라탕 과연 식당 맛 재현될까 밀키트 브랜드별 제품,0
236,재밌는 중국 음식편 청두에서는 마라탕 대신 이것,0
237,배달거지에 당했다”음식점 사장이 분노한 이유 e글e글,0
238,2021 대한민국 퍼스트브랜드 대상 식품·외식 부문,0
239,마라라면 다 좋아 마라 마니아를 위한 마라 라면 6,0
240,이선빈 나이 들어도 변치 않는 감자 사랑백종원 빨간맛 마라탕 완성맛남,0
241,스트레이 키즈 리노X현진 아이돌 최초 4금도끼 금도끼 받으면 소고기 다이,0
242,차이나 포비아 마라탕까지 번졌나중국 음식점 발길 뚝,0
243,한진우의 TV 속 먹거리담론 얼얼한 매운맛 일품인 마라탕열 좀 내볼까,0
244,하지현의 사피엔스와 마음 마라탕과 중국집 그 심리적 거리,0
245,중국산 포비아에 마라탕·훠궈 불똥,-1
246,솔로이코노미 배달앱의 성장 이용자는 늘어나는데 해결되지 않은 문제들,-1
247,사랑도 그런 건 아닐까가수 이승윤 자작곡 마라탕 공개,0
248,중국인 가게는 좀” 마라탕도 된서리,0
